path	filesize	transcript
clips/common_voice_az_0.wav	128044	 qiçi olsa da fermanın ən hündür yeri sayılırdı
clips/common_voice_az_1.wav	160044	 xurların tədqiqindən sonra snobal buranın yel dəhərmanı dikmək üçün
clips/common_voice_az_2.wav	96044	 ən münasib yer olduğu qənaətinə gəldi
clips/common_voice_az_3.wav	128044	 dəhərmanın pərləri dinamonu hərəkətə gətirməli və
clips/common_voice_az_4.wav	96044	 fermanı elektriklə təmin etməli idi
clips/common_voice_az_5.wav	160044	 bu tövlələri şıqlandırmağa qışda isə qızdırmağa imkan yaradacaqdı
clips/common_voice_az_6.wav	128044	 üstəlik elektrik mişarını ot doğrayan və
clips/common_voice_az_7.wav	96044	 çuğundur qarışdıran maşınları işlətmək
clips/common_voice_az_8.wav	128044	 ətə inəkləri mexaniki üsulla sağmaq mümkün olacaqdı
clips/common_voice_az_9.wav	128044	 heyvanlar ömürləri boyu belə şey eşitməmişdilər
clips/common_voice_az_10.wav	96044	 ferma dədəbaba qaydası ilə idarə edildiyindən
clips/common_voice_az_11.wav	128044	 orada yalnız ən bəsit texnikadan istifadə olunurdu
clips/common_voice_az_12.wav	128044	 ona görə də snobalın dediklərinə heyrətlə qulaq asırdılar
clips/common_voice_az_13.wav	128044	 o isə təcüblənmiş ferma sakinlərinin gözləri qarşısında
clips/common_voice_az_14.wav	160044	 fantastik maşınların cazibədar lövfələrini canlandırırdı
clips/common_voice_az_15.wav	128044	 gələcəkdə heyvanların əvəzinə bütün işləri bu maşınlar görəcəkdi
clips/common_voice_az_16.wav	192044	 onlarsa çəmənlikdə gəzip dolaşacaq vaxtlarına söhbət və mütayilə ili keçirəcəkdi
clips/common_voice_az_17.wav	128044	 bir neçə həftədən sonra snobal yel dəyirmanı ilə bağlı
clips/common_voice_az_18.wav	96044	 lahiyyəsini hazırlayıb başacaqdırdı
clips/common_voice_az_19.wav	96044	 teknikli təfərrüatlar mr jonesə məxsus
clips/common_voice_az_20.wav	256044	 ev üçün min faydalı şey hər kəs bənnə ola bilər və ibtidai elektrik qursu kitablarından götürülmüşdü
clips/common_voice_az_21.wav	160044	 snobal lahiyyə üzərində ferma binasının çardağında işləyirdi
clips/common_voice_az_22.wav	128044	 buradan bir vaxtlar inkubator kimi istifadə olunmuşdu
clips/common_voice_az_23.wav	128044	 hamar taxta döşəmə sıxımlarının çəkilməsindən ötürü çox əlverişli idi
clips/common_voice_az_24.wav	128044	 snobal bəzən saatlarla çardağda qapanıb qalırdı
clips/common_voice_az_25.wav	192044	 o arada bir lazımlı səhifələrinin üzərinə xırda daşlar qoyduğu kitaba baxır
clips/common_voice_az_26.wav	224044	 təbaşır parçasını dırnaqları arasında tutaraq birbirinin artınca müxtəlif cızıqlar və xətlər çəkir
clips/common_voice_az_27.wav	160044	 hərdən kənara çəkilib işinə tamaş eyilir və sevincindən xorulduyurdu
clips/common_voice_az_28.wav	224044	 tədricən lahiyyə bir xeylidirsəyli val dişli çarq və s ibarət mürəkkəb mexanizmə çevrildi
clips/common_voice_az_29.wav	128044	 bu mürəkkəb mexanizmin planı artıq bütün döşəməni tutmuşdu
clips/common_voice_az_30.wav	256044	 snoballın lahiyyəsi qalan heyvanlar üçün tamamilə anlaşılmaz eyni zamanda çox əsrarəngiz bir mənzərə idi
clips/common_voice_az_31.wav	160044	 fermanın əksər sakinləri gündə azı bir dəfə sıxımə tamaşa edirdilər
clips/common_voice_az_32.wav	256044	 hətta toyuqlar və qazlar da təbaşır ilə çəkilmiş xətləri ayaqlamamağa çalışaraq lahiyyəyə baxmağa gəlirdi
clips/common_voice_az_33.wav	256044	 yalnız napolyon maraq göstərmirdi o ilk gündən gel dəyirmanı idiyasının əleyhin olduğunu bildirmişdi
clips/common_voice_az_34.wav	128044	 amma bir dəfə gözlənilmədən napolyon da planla tanış olmağa gəldi
clips/common_voice_az_35.wav	192044	 ağırağır sıxəmin ətrafında gəzip dolaşdı hər detalı diqqətlə nəzərdən keçirdi
clips/common_voice_az_36.wav	160044	 iki dəfə xoruldadı və kənara çəkilib gözlərini qıyaraq nifrətlə baxdı
clips/common_voice_az_37.wav	256044	 sonra qəfildən dal ayağını qaldırıb çert yorucun üstünə işədi və heç bir söz demədən çıxıb getdi
clips/common_voice_az_38.wav	128044	 yel dəyirmanı məsələsi fermada dərim fikir ayrılığı yaratmışdı
clips/common_voice_az_39.wav	224044	 snoball dəyirman dikincisinin çətin olacağını inkar etmirdi divarları hörmək üçün daş gətirilməli idi
clips/common_voice_az_40.wav	160044	 sonra pərləri quraşdırmaq nagil və dinamo tapmaq lazım idi
clips/common_voice_az_41.wav	192044	 onları haradan və necə tapacağı haqqında snoball bir söz demirdi
clips/common_voice_az_42.wav	192044	 lakin bütün işlərin bir il ərsində başa çatırılmasının vacibliyini bildirirdi
clips/common_voice_az_43.wav	224044	 ondan sonra hər şey elə asanda olacaqdı ki heyvanlara həftədə yalnız üç gün işləmək kifayət edəcəkdi
clips/common_voice_az_44.wav	192044	 napolyon isə mübahisə eləyib deyirdi ki indi əsas məsələ məhsul site sağlını artırmaqdır
clips/common_voice_az_45.wav	192044	 əgər heyvanlar vaxtlarını boş yara dəyirman dikincisinə sərf etsələr acından öləcəklər
clips/common_voice_az_46.wav	320044	 heyvanlar iki yerə bölünmüşdü bir qismi snoballa və üç günlüyü iş həftəsinə səs verin digərləri isə napolyona və dolu axırlara səs verin
clips/common_voice_az_47.wav	224044	 şuar ila çıxış edirdilər dəstələrin heç birində qoşulmayan yegani heyvan benjamin idi
clips/common_voice_az_48.wav	224044	 ona məhsul boğuluğu yaradılacağına nə də dəyirmanın heyvan əməyini ingiləşdirəcəyinə inanırdı
clips/common_voice_az_49.wav	288044	 deyirdi ki dəyirman olduolmadı həyat öz axar ila davam eləyəcək yəni vəziyyət gedgedə daha da körlənəcək
clips/common_voice_az_50.wav	192044	 dəyirmanla bağlı mübahisələrlə yanaşı fermanın müdafiəsi məsələsi də gündəlikdə dayanırdı
clips/common_voice_az_51.wav	416044	 hamı başa düşürdü ki insanlar pəhə döyüşündə məqlub olsalar da fermanı geri qayıtarmaq və mr jonesun hakimiyyətini bərpat etmək üçün yeni daha qətiyyətli təşəbbüs göstərmək fikrindən daşınmayıblar
clips/common_voice_az_52.wav	288044	 bunun üçün kifayət qədər səbəb vardı artıq insanların məqlubiyyət xəbəri hər tərəfə yayılmış və qonşu fermalardakı heyvanların müqavimət isteyi artmışdı
clips/common_voice_az_53.wav	192044	 həmşək kimi bu məsələdə də snowballla napolyon arasında fikir ayrılığı yarandı
clips/common_voice_az_54.wav	224044	 napolyonun fikrincə heyvanlar odlu ıslah əldə etməli və ondan istifadə qaydalarını öyrənməli idilər
clips/common_voice_az_55.wav	320044	 snowballsı deyirdi ki onlar xəbəyə daha çox göyərcin qaldırmalı və qonşu fermadakı heyvanlar arasında üsyan fikrini yaymalıdırlar
clips/common_voice_az_56.wav	128044	 biri deyirdi ki özlərini qorumağı öyrənməsələr məqlub olacaqlar
clips/common_voice_az_57.wav	192044	 o biri iddia eləyirdi ki hər yerdə heyvanların üsyanı başlansa müdafiə ümumiyyətlə ehtiyac qalmayacaq
clips/common_voice_az_58.wav	288044	 ferma sakinləri əvvəlcə napolyona sonra snowballa qulaq astırdılar lakin hansının haqlı olduğunu heç ür kəstirə bilmirdilər
clips/common_voice_az_59.wav	192044	 qulaq astıqları an kim danışırdısa onun fikirlərini azlaşdıqlarını deyirdilər
clips/common_voice_az_60.wav	128044	 nəhayət snowballın planını tam sona çatdırdığı gün gəlib çatdı
clips/common_voice_az_61.wav	288044	 növbəti bazar günü məşvələt şurasının yığıncağında dərman dikincisində başlanıb başlamamaq məsələsi səs verməyə çıxarıldı
clips/common_voice_az_62.wav	128044	 heyvanlar böyük ambara toplaşından sonra snowball ayağa qalxdı
clips/common_voice_az_63.wav	288044	 şurasın gedişinə mani olmağa çalışan qoyunları mələrdlərinə həmiyyət vermədən dərman dikincisinin zərurlüyünü əsaslandıran dəlillərini ortaya qoydu
clips/common_voice_az_64.wav	224044	 sonra napolyon cavab vermək üçün ayağa qalxdı qətiyyətlə bildirdi ki dərman dikincisi cəfən gişdi
clips/common_voice_az_65.wav	128044	 heç kəs də bu məsələnin lehinə səs verməyi məsləhət görmür
clips/common_voice_az_66.wav	192044	 sözünü qurtaran kimi yerində oturdu çıxışı heç yarım dəyəkə çəkmədi
clips/common_voice_az_67.wav	128044	 gəlsən danışdığının necə təsir bağışlanması da onu maraqlandırmırdı
clips/common_voice_az_68.wav	320044	 snowball sıçrayıb yerindən qalxdı yenidən mələşməyə başlayan qoyunlara təpinib dərman diyyəsinin müdafiəsi ilə bağlı ehtiraslı bir nitq söylədi
clips/common_voice_az_69.wav	192044	 indiyə qədər fərq məsakinlərinin rəqbəti tərəflər arasında demək olar ki yar bölünmüşdür
clips/common_voice_az_70.wav	128044	 artıq snowballın natiqli məharəti vəziyyəti bir an içərisində dəyişdi
clips/common_voice_az_71.wav	160044	 snowball heyvanları alçaldan fiziki əməyin ağır şərtlərini aradan qaldırandan sonra
clips/common_voice_az_72.wav	192044	 heyvanıstanın qısa müddət ərzində necə dəyişəcəyini son dərəcə inandırıcı bir şəkildə təsvir etdi
clips/common_voice_az_73.wav	192044	 indi onun təxəyyülü saman doğrayan və çugundur sıxan maşınlardan daha qabağa getmişdi
clips/common_voice_az_74.wav	224044	 snowball ehtiraslı nitki ilə heyvanların gözləri qarşısında qeyradi mənzərələr canlandıraraq deyirdi ki
clips/common_voice_az_75.wav	224044	 elektrik enerjisi toxum zəbən və ot biçən taxıldoyan və dərz bağlıyan maşınları işlətəcək
clips/common_voice_az_76.wav	128044	 elektrikin kömək ilə torpaq şumlanacaq və malalanacaq
clips/common_voice_az_77.wav	160044	 hər dövlədə işıq yanacaq isti və soyuqsu olacaq istitmə sistemi çalışacaq
clips/common_voice_az_78.wav	160044	 onun nitkini başa çatdıranda səs vermənin nəticəsi artıq heç kimdə şübhə doğurmurdu
clips/common_voice_az_79.wav	128044	 lakin elə həmin an napolyon yenidən ayağa qalxdı
clips/common_voice_az_80.wav	192044	 sunobala sınayıcı nəzərlə çəpçəp baxıb heç kəsin eşitmədiyi qəribə bir səs çıxardı
clips/common_voice_az_81.wav	96044	 bayırdan qəzəbli it yürüşməsi eşidildi
clips/common_voice_az_82.wav	288044	 boyunlarına xalta bağlanmış sinələrindən mis löhəcələr asılmış donuz nəhəng köpek sürətlə ambara soxuldu
clips/common_voice_az_83.wav	64044	 onlar birbaşa sunobalın üstünə atıldılar
clips/common_voice_az_84.wav	192044	 sunobal tam zamanında yerindən sıçrayıb canlı itlərin dişlərindən qurtara bildi
clips/common_voice_az_85.wav	96044	 bir an keçməmiş o özünü ambarın qapısına atdı
clips/common_voice_az_86.wav	64044	 itlər də dalınca sıçradılar
clips/common_voice_az_87.wav	224044	 təcrüblənmiş və qorxudan dillər tutulmuş heyvanlar qapı önündə toplaşıb baş verənləri izləyirdilər
clips/common_voice_az_88.wav	128044	 sunobal var gücü ilə tarladan böyük yola tərəf qaçırdı
clips/common_voice_az_89.wav	96044	 aydın məsələdir ki o ancaq donuz kimi qaça bilirdi
clips/common_voice_az_90.wav	160044	 arxadan dabangırma gələn köpeklər sunobalı haqlamaqda idilər
clips/common_voice_az_91.wav	128044	 birdən ayağı sürüşdü və hamı onun artıq ələ keçdiyini düşündü
clips/common_voice_az_92.wav	160044	 amma sunobal son anda özünü düzəldib əvvəlkinən də bərq qaçmağa başladı
clips/common_voice_az_93.wav	64044	 köpeklər yenə onu haqladılar
clips/common_voice_az_94.wav	128044	 onlardan biri sivri dişlərini sunobalın quyruğuna uzatdı
clips/common_voice_az_95.wav	192044	 sunobal zamanında quyruğunu köpeğin ağzından xilas eləyib var gücü ilə irəli atıldı
clips/common_voice_az_96.wav	128044	 indi onu köpeklərdən yarım addımlıq məsafə ayırırdı
clips/common_voice_az_97.wav	192044	 son anda sunobal özünü hasardakı dəşikdən bayrağa ata bildi və bir daha onu görən olmadı
clips/common_voice_az_98.wav	64044	 qorxmuş heyvanlar zahidcə ambara doluşdular
clips/common_voice_az_99.wav	96044	 az keçməmiş köpeklər də geri qayıtdılar
clips/common_voice_az_100.wav	160044	 əvvəlcə heç kəs onların birdənbirə hardan peydə olduqlarını təsəvvürünə gətirə bilmirdi
clips/common_voice_az_101.wav	96044	 lakin tezli ilə hər şey aydın oldu
clips/common_voice_az_102.wav	256044	 səndəmə onlar bir zaman napolyon analarından aldığı və tərbiyyəsi ilə özünün məşğul olduğu küçüklərimiş
clips/common_voice_az_103.wav	96044	 düzdür hələ boy atmağa da davam edirlər
clips/common_voice_az_104.wav	128044	 lakin artıq canavara bənziyən heybətli itlərə çevrilmişdirlər
clips/common_voice_az_105.wav	64044	 onlar napolyonu dövrəyə aldılar
clips/common_voice_az_106.wav	160044	 bir vaxtlar digər itlərin mr jonesun qarşısında buyruq buladıqları kimi
clips/common_voice_az_107.wav	224044	 köpeklərin də indi eyni hərəkəti napolyonun qarşısında etmələri heç kəsinin diqqətindən yayılmadı
clips/common_voice_az_108.wav	256044	 napolyon köpeklərin əhətəsində vaxtı ilə mayorun öz nitqini söylədiyi döşəmədən azaca xündür olan səhkiyə qalxdı
clips/common_voice_az_109.wav	160044	 bugündən ətibarən məşvərit şurasının bazar günü cilasının keçirilməyəcəyini əlan etdi
clips/common_voice_az_110.wav	96044	 bildirdi ki belə toplantılara ehtiyac yoxdur
clips/common_voice_az_111.wav	96044	 bu sadəcə boş yerə vaxt itirməkdir
clips/common_voice_az_112.wav	256044	 gələcəkdə fermanın işləri ilə bağlı bütün məsələləri onun rəhbərliyi altında donuzlardan ibarət xüsusi komisiya tərəfindən həll edəcək
clips/common_voice_az_113.wav	224044	 komisiya əlahiddə şəkildə toplanacaq və qəbul olunmuş qərarlar barəsində heyvanlara sonradan məlumat veriləcək
clips/common_voice_az_114.wav	320044	 fermanın bütün sakinləri əvvələr olduğu kimi yenə də hər bazar günləri səhər bayraq qaldırılması və ingiltərə heyvanları mahnısının oxunması mərasimində iştirak edəcək
clips/common_voice_az_115.wav	96044	 ardınca da həftəlik tapşırıqları alacaqlar
clips/common_voice_az_116.wav	96044	 lakin bu zaman daha heç bir müzakirə aparılmayacaq
clips/common_voice_az_117.wav	288044	 snowballın qovulmasının yaratdığı sarsıntıya baxmayaraq heyvanlar toplantıların ləğqi xəbərini məuzluqla qarşıladılar
clips/common_voice_az_118.wav	224044	 əgər nə demək istədiklərini yaxşı əsaslandıra bilsə idilər bəziləri hətta eytiraz etməyə də hazır idilər
clips/common_voice_az_119.wav	160044	 iş o yerə çatmışdı ki boxerdə əməlli başlı həyacanlanmışdı
clips/common_voice_az_120.wav	128044	 o qulaqlarını şəkilədi bir neçə dəfə yalını sirkələdi
clips/common_voice_az_121.wav	64044	 fikirlərini nizama salmağa çalışdı
clips/common_voice_az_122.wav	160044	 amma sonda fikrini ifadə etməyə lazımlı sözlər tapa bilmədi
clips/common_voice_az_123.wav	96044	 donuzlardan bəzilərinin yaxşı danışma qabiliyyəti vardır
clips/common_voice_az_124.wav	192044	 birinci sırada oturmuş dörd gənc donuz ciyətli səslə eytirazlarını bildirdilər
clips/common_voice_az_125.wav	160044	 onların dördü də eyni anda sıçrayıb ayağa qalxdı və xorla danışmağa başladı
